"NAME","MONTH_YEAR","VALUE_AMT_SUM","CURRENCY_CODE"
"Yen Latimore","09.2020",99,"EUR"
"Zina Bilal","09.2020",64,9,"USD"
"Zofia Ambler","09.2020",108,9,"USD"
"Ailene Frieden","09.2020",59,"EUR"
"Alfredo Hursey","09.2020",99,"EUR"
"Andera Valliere","09.2020",99,"EUR"
"Annalee Gulbranson","09.2020",31,9,"USD"
"Arlyne Honda","09.2020",141,9,"USD"
"August Darland","09.2020",31,9,"USD"
"Beverley Silveira","09.2020",29,"EUR"
"Bobette Shuff","09.2020",141,9,"USD"
"Carlene Felice","09.2020",8613,"RUR"
"Carmelina Hewett","09.2020",64,9,"USD"
"Celsa Bumbalough","09.2020",5133,"RUR"
"Charlette Radtke","09.2020",31,9,"USD"
"Chas Vandever","09.2020",129,"EUR"
"Chasidy Nixon","09.2020",59,"EUR"
"Connie Newingham","09.2020",99,"EUR"
"Cristopher Brownfield","09.2020",59,"EUR"
"Dan Rozelle","09.2020",29,"EUR"
"Daniela Russaw","09.2020",129,"EUR"
"Daniele Euell","09.2020",108,9,"USD"
"Darcey Heide","09.2020",59,"EUR"
"Debora Hoang","09.2020",11223,"RUR"
"Douglas Charity","09.2020",59,"EUR"
"Dreama Moman","09.2020",99,"EUR"
"Edmond Dawe","09.2020",59,"EUR"
"Elmer Gean","09.2020",99,"EUR"
"Emilie Nemitz","09.2020",8613,"RUR"
"Euna Mak","09.2020",59,"EUR"
"Gena Dacanay","09.2020",59,"EUR"
"Genesis Kowalczyk","09.2020",59,"EUR"
"Gregoria Fant","09.2020",59,"EUR"
"Gwendolyn Westerlund","09.2020",8613,"RUR"
"Hector Redwine","09.2020",11223,"RUR"
"Helene Hargrove","09.2020",64,9,"USD"
"Herta Blind","09.2020",5133,"RUR"
"Irena Byrge","09.2020",59,"EUR"
"Ja Moscato","09.2020",8613,"RUR"
"Jalisa Keala","09.2020",29,"EUR"
"January Randazzo","09.2020",29,"EUR"
"Jeniffer Brace","09.2020",59,"EUR"
"Joanne Kingery","09.2020",59,"EUR"
"Jovita Fesler","09.2020",8613,"RUR"
"Jude Brashier","09.2020",99,"EUR"
"Justina Stonecipher","09.2020",29,"EUR"
"Katina Abernethy","09.2020",99,"EUR"
"Kellie Bail","09.2020",2523,"RUR"
"Kristle Vien","09.2020",8613,"RUR"
"Lakendra Zick","09.2020",129,"EUR"
"Laronda Coe","09.2020",59,"EUR"
"Lashell Abbas","09.2020",2523,"RUR"
"Latonia Vanwyk","09.2020",8613,"RUR"
"Lavina Ackles","09.2020",29,"EUR"
"Leland Gales","09.2020",8613,"RUR"
"Leonie Rakowski","09.2020",129,"EUR"
"Lesa Mehaffey","09.2020",99,"EUR"
"Levi Basham","09.2020",99,"EUR"
"Loraine Bensley","09.2020",59,"EUR"
"Louanne Hillwig","09.2020",141,9,"USD"
"Louie Scarpelli","09.2020",99,"EUR"
"Loyd Grosz","09.2020",59,"EUR"
"Luanne Boucher","09.2020",108,9,"USD"
"Magdalena Ratcliffe","09.2020",5133,"RUR"
"Maris Nee","09.2020",129,"EUR"
"Maryann Weldy","09.2020",108,9,"USD"
"Mason Henslee","09.2020",29,"EUR"
"Merrie Weideman","09.2020",8613,"RUR"
"Mikel Brockway","09.2020",5133,"RUR"
"Mirta Cannon","09.2020",64,9,"USD"
"Niki Castano","09.2020",59,"EUR"
"Pamelia Bergquist","09.2020",31,9,"USD"
"Rachael Scheff","09.2020",141,9,"USD"
"Raisa Benford","09.2020",99,"EUR"
"Ranae Lumpkins","09.2020",129,"EUR"
"Regena Kita","09.2020",129,"EUR"
"Richie Petrey","09.2020",29,"EUR"
"Rolf Sharrow","09.2020",129,"EUR"
"Rudolph Glickman","09.2020",59,"EUR"
"Shaniqua Truesdale","09.2020",99,"EUR"
"Shayna Mahan","09.2020",99,"EUR"
"Sherryl Gateley","09.2020",99,"EUR"
"Soraya Lashbrook","09.2020",2523,"RUR"
"Starr Krogh","09.2020",64,9,"USD"
"Stephani Mincy","09.2020",129,"EUR"
"Susan Duffield","09.2020",129,"EUR"
"Sylvia Olander","09.2020",2523,"RUR"
"Tawny Jeske","09.2020",29,"EUR"
"Terina Shira","09.2020",11223,"RUR"
"Terrence Mustafa","09.2020",108,9,"USD"
"Tonisha Vanbeek","09.2020",129,"EUR"
"Trenton Dargan","09.2020",129,"EUR"
"Twana Willet","09.2020",129,"EUR"
"Vena Sedor","09.2020",64,9,"USD"
"Victor Hilliker","09.2020",99,"EUR"
"Willy Frink","09.2020",108,9,"USD"
"Winter Mckillop","09.2020",129,"EUR"
"Ailene Frieden","08.2020",29,"EUR"
"Alfredo Hursey","08.2020",108,9,"USD"
"Andera Valliere","08.2020",99,"EUR"
"Annalee Gulbranson","08.2020",31,9,"USD"
"Arlyne Honda","08.2020",8613,"RUR"
"August Darland","08.2020",8613,"RUR"
"Beverley Silveira","08.2020",29,"EUR"
"Bobette Shuff","08.2020",11223,"RUR"
"Carlene Felice","08.2020",11223,"RUR"
"Carmelina Hewett","08.2020",11223,"RUR"
"Celsa Bumbalough","08.2020",8613,"RUR"
"Charlette Radtke","08.2020",59,"EUR"
"Chas Vandever","08.2020",59,"EUR"
"Chasidy Nixon","08.2020",31,9,"USD"
"Connie Newingham","08.2020",59,"EUR"
"Cristopher Brownfield","08.2020",8613,"RUR"
"Dan Rozelle","08.2020",129,"EUR"
"Danae Smullen","08.2020",108,9,"USD"
"Daniela Russaw","08.2020",129,"EUR"
"Daniele Euell","08.2020",108,9,"USD"
"Darcey Heide","08.2020",31,9,"USD"
"Debora Hoang","08.2020",99,"EUR"
"Douglas Charity","08.2020",108,9,"USD"
"Dreama Moman","08.2020",129,"EUR"
"Edmond Dawe","08.2020",99,"EUR"
"Elmer Gean","08.2020",31,9,"USD"
"Emilie Nemitz","08.2020",59,"EUR"
"Euna Mak","08.2020",31,9,"USD"
"Gena Dacanay","08.2020",29,"EUR"
"Genesis Kowalczyk","08.2020",99,"EUR"
"Gregoria Fant","08.2020",64,9,"USD"
"Gwendolyn Westerlund","08.2020",59,"EUR"
"Hanh Whitesell","08.2020",11223,"RUR"
"Hector Redwine","08.2020",29,"EUR"
"Helene Hargrove","08.2020",59,"EUR"
"Herta Blind","08.2020",5133,"RUR"
"Irena Byrge","08.2020",5133,"RUR"
"Ja Moscato","08.2020",8613,"RUR"
"Jalisa Keala","08.2020",129,"EUR"
"January Randazzo","08.2020",29,"EUR"
"Jeniffer Brace","08.2020",108,9,"USD"
"Joanne Kingery","08.2020",108,9,"USD"
"Jovita Fesler","08.2020",108,9,"USD"
"Jude Brashier","08.2020",31,9,"USD"
"Justina Stonecipher","08.2020",108,9,"USD"
"Katina Abernethy","08.2020",129,"EUR"
"Kellie Bail","08.2020",129,"EUR"
"Kristle Vien","08.2020",59,"EUR"
"Lakendra Zick","08.2020",29,"EUR"
"Laronda Coe","08.2020",59,"EUR"
"Lashell Abbas","08.2020",29,"EUR"
"Latonia Vanwyk","08.2020",31,9,"USD"
"Lavina Ackles","08.2020",99,"EUR"
"Leland Gales","08.2020",99,"EUR"
"Leonie Rakowski","08.2020",99,"EUR"
"Lesa Mehaffey","08.2020",129,"EUR"
"Levi Basham","08.2020",99,"EUR"
"Loraine Bensley","08.2020",129,"EUR"
"Louanne Hillwig","08.2020",99,"EUR"
"Louie Scarpelli","08.2020",2523,"RUR"
"Loyd Grosz","08.2020",99,"EUR"
"Luanne Boucher","08.2020",99,"EUR"
"Magdalena Ratcliffe","08.2020",5133,"RUR"
"Mariette Swick","08.2020",99,"EUR"
"Maris Nee","08.2020",29,"EUR"
"Maryann Weldy","08.2020",59,"EUR"
"Mason Henslee","08.2020",8613,"RUR"
"Merrie Weideman","08.2020",8613,"RUR"
"Mikel Brockway","08.2020",99,"EUR"
"Mirta Cannon","08.2020",11223,"RUR"
"Niki Castano","08.2020",8613,"RUR"
"Pamelia Bergquist","08.2020",99,"EUR"
"Rachael Scheff","08.2020",108,9,"USD"
"Raisa Benford","08.2020",99,"EUR"
"Ranae Lumpkins","08.2020",5133,"RUR"
"Regena Kita","08.2020",64,9,"USD"
"Richie Petrey","08.2020",8613,"RUR"
"Rolf Sharrow","08.2020",29,"EUR"
"Rudolph Glickman","08.2020",29,"EUR"
"Shaniqua Truesdale","08.2020",8613,"RUR"
"Shayna Mahan","08.2020",141,9,"USD"
"Sherryl Gateley","08.2020",64,9,"USD"
"Soraya Lashbrook","08.2020",2523,"RUR"
"Starr Krogh","08.2020",11223,"RUR"
"Stephani Mincy","08.2020",99,"EUR"
"Susan Duffield","08.2020",108,9,"USD"
"Sylvia Olander","08.2020",29,"EUR"
"Tawny Jeske","08.2020",108,9,"USD"
"Terina Shira","08.2020",29,"EUR"
"Terrence Mustafa","08.2020",59,"EUR"
"Tonisha Vanbeek","08.2020",99,"EUR"
"Trenton Dargan","08.2020",59,"EUR"
"Twana Willet","08.2020",108,9,"USD"
"Vena Sedor","08.2020",108,9,"USD"
"Victor Hilliker","08.2020",99,"EUR"
"Willy Frink","08.2020",129,"EUR"
"Winter Mckillop","08.2020",59,"EUR"
"Yen Latimore","08.2020",64,9,"USD"
"Zina Bilal","08.2020",64,9,"USD"
"Zofia Ambler","08.2020",5133,"RUR"
